epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.4547953155755996,0.831375,0.4539621770381927,0.4618546910101872,0.823982398239824,0.4517490863800049
2,0.4490903198242187,0.831475,0.4541390538215637,0.4515164563185883,0.823982398239824,0.4517490863800049
3,0.44646549048423767,0.8315,0.45399945974349976,0.453096330756008,0.823982398239824,0.4517490863800049
4,0.44253476572036743,0.831475,0.4548729658126831,0.4421132063076417,0.823982398239824,0.4517490863800049
5,0.4326697011470795,0.83125,0.4548046588897705,0.44161617295696015,0.823982398239824,0.4517490863800049
6,0.42538227801322936,0.8322,0.4678531587123871,0.4279492533925844,0.8270827082708271,0.5016870498657227
7,0.4189138445854187,0.8329,0.4910728931427002,0.4149180177045186,0.8271827182718272,0.48586350679397583
8,0.4101408782720566,0.83435,0.5139639973640442,0.4338855870319183,0.8271827182718272,0.5966932773590088
9,0.4033781980037689,0.8368,0.5375993251800537,0.39726180722801935,0.8364836483648365,0.5782701969146729
10,0.3989234616994858,0.8376,0.549489438533783,0.38831430535302636,0.836983698369837,0.5814172029495239
11,0.39140822513103485,0.8422,0.5714442729949951,0.41533967596564914,0.8313831383138314,0.6636562943458557
12,0.38811814427375796,0.841175,0.57716965675354,0.4158597096125714,0.8229822982298229,0.6738788485527039
13,0.3821426971197128,0.843425,0.5925551652908325,0.37864850467295036,0.8426842684268426,0.6038210391998291
14,0.3801243986368179,0.844825,0.5985731482505798,0.37028861013647674,0.8505850585058505,0.6522888541221619
15,0.37340488717556,0.84765,0.6134165525436401,0.37552384728013855,0.8370837083708371,0.5472937822341919
16,0.3693868800640106,0.849725,0.6241984963417053,0.3908196065304029,0.8362836283628363,0.5251027345657349
17,0.3644874313354492,0.849775,0.6291269063949585,0.35457893764034415,0.855985598559856,0.6791698336601257
18,0.36023928890228274,0.85355,0.6456089019775391,0.37606330709655783,0.8401840184018402,0.5588486790657043
19,0.3576016533374786,0.853275,0.6473914384841919,0.34902687972099117,0.8520852085208521,0.6335003972053528
20,0.35250826630592347,0.8549,0.6548083424568176,0.4142375278918788,0.8241824182418241,0.7236431241035461
21,0.35056985409259794,0.856625,0.6572656035423279,0.36167544922312206,0.8511851185118512,0.6233123540878296
22,0.34502015850543977,0.858575,0.6679607629776001,0.34105918116301986,0.8597859785978598,0.7154817581176758
23,0.3447700847864151,0.86045,0.6752181053161621,0.3560421937989621,0.8506850685068507,0.6029821038246155
24,0.3370590652704239,0.860075,0.6768127679824829,0.3560904801243579,0.8531853185318532,0.7211092710494995
25,0.3389491113424301,0.860825,0.6783772110939026,0.3401272184479915,0.8575857585758576,0.6442663669586182
26,0.3344914132833481,0.863825,0.6876981854438782,0.34033016682696443,0.8585858585858586,0.6464909315109253
27,0.33115957479476926,0.863775,0.6900354623794556,0.3249894599876877,0.8671867186718671,0.7009508609771729
28,0.32660053884983065,0.86565,0.6965472102165222,0.3731466466658758,0.8482848284828483,0.5903913378715515
29,0.31956521916389463,0.8688,0.7080785632133484,0.307762583827052,0.8683868386838683,0.6882182955741882
30,0.31861748830080033,0.869125,0.7092575430870056,0.30168344250785456,0.87998799879988,0.7697296142578125
31,0.31695211911201476,0.871275,0.7148319482803345,0.3098187548468764,0.8728872887288729,0.7174767255783081
32,0.31122057173252105,0.87225,0.718949019908905,0.29437548352821025,0.8782878287828783,0.7421061992645264
33,0.31120099177360533,0.87325,0.7225451469421387,0.41362001739963195,0.8177817781778178,0.737612247467041
34,0.3077981532096863,0.874175,0.7243252992630005,0.29046915774226656,0.8827882788278828,0.7768763303756714
35,0.305571410036087,0.877825,0.7339956760406494,0.2983013757921145,0.875987598759876,0.7207673788070679
36,0.29982727077007293,0.87865,0.7386102080345154,0.293917841596095,0.8836883688368837,0.7899324297904968
37,0.29649525604248045,0.879425,0.7416021823883057,0.28482137170239963,0.8852885288528853,0.7928224802017212
38,0.29449154126644134,0.880075,0.7448688745498657,0.343820852313665,0.860986098609861,0.7781904935836792
39,0.28954010291099547,0.882725,0.751007616519928,0.2947949368615832,0.8796879687968797,0.7692152261734009
40,0.2922478251218796,0.88285,0.7516372203826904,0.326118983910291,0.86008600860086,0.6373859643936157
41,0.28390810589790344,0.885025,0.7572015523910522,0.2696010689042022,0.8894889488948895,0.7893553376197815
42,0.2797609687566757,0.88765,0.7639192342758179,0.29714136991170376,0.8763876387638764,0.7238897085189819
43,0.27776926276683805,0.88915,0.7677772045135498,0.3478940618385111,0.8707870787078708,0.6826291680335999
44,0.2758522644162178,0.8887,0.7678181529045105,0.2906258532030247,0.8841884188418841,0.732740044593811
45,0.273904648911953,0.889975,0.7717304229736328,0.3564569565198078,0.8494849484948495,0.7777757048606873
46,0.26815845923423764,0.892325,0.7781275510787964,0.27838446956501567,0.8867886788678868,0.7433618307113647
47,0.2718188152194023,0.890425,0.7727319002151489,0.4493803527757208,0.780978097809781,0.7178031206130981
